Category were the 30 under 30 person was selected,Forbes Name,Forbes Age,Forbes Country,Role in the Company,Company,Description,LinkedIn Profile,linkedin_name,Exact match between the name ?,Did I had o perform a manual searh to find the linkedin profile ?
30 Under 30 - Europe - Art & Culture,Julius Juul,28,Denmark,Cofounder, Artefact London,"Julius Juul started his career in advertising and design, after graduating from the Danish school of Media and Journalism with a major in creative communication. Shortly thereafter, he and his brother Victor started their own ready-to-wear unisex fashion label, Heliot Emil, named after their great-grandfather,  and featuring a Scandinavian, monochromatic aesthetic with a high attention to detail. The brothers showcased their first collection in Milan during the 2017 spring/summer season. in addition, Juul Studio is today based in New York and focuses on creative directing in the arts of film, graphic design, photography and brand development internationally.",https://www.linkedin.com/in/teaspionage,Julius Jokikokko ,FALSE,NO
30 Under 30 - Europe - Law & Policy,Mina Jaf,29,Denmark,Founder, Women Refugee Route,"Jaf is a grass-roots activist for the rights of female refugees. Born in Iraqi Kurdistan, she is the founder of Women Refugee Route, an NGO that works to empower refugees to become self-advocates and impact asylum and migration policies.",https://www.linkedin.com/in/mina-jaf-67a16438,Mina Jaf ,TRUE,NO
30 Under 30 - Europe - Retail & Ecommerce,Gulnaz Khusainova,28,Denmark,Founder, Easysize,"Founded by Moscow-born Khusainova in 2014, Easysize uses an AI algorithm to assess customer shopping preferences and predict their return behavior, including customers who buy-to-rent, buy the wrong size or buy-to-try at home. The Danish startup reduces return rates by 35-40%, saving online stores 5-7% of their revenue.",https://www.linkedin.com/in/gkhusainova,Gulnaz Khusainova ,TRUE,NO
30 Under 30 - Europe - Science & Healthcare,Martin Bonde Jensen,28,Denmark,Research Fellow, University of Cambridge,Particle3D aims to use 3D printing to make patient-fitted bone implants for facial reconstruction for cancer and trauma patients that are closer to native tissue than current implants. The implants then transform into native tissue over time.,https://www.linkedin.com/in/mbjp3d/,Martin Hansen ,FALSE,YES
30 Under 30 - Europe - Science & Healthcare,Frederik Aalund,28,Denmark,Cofounder, Angiolutions,"SBT Instruments has developed a real-time bacterial detection device that is relatively cheap, accessible, market-ready and can be used in water, food and environmental testing. They've raised more than ?1 million.",https://www.linkedin.com/in/frederikaalund,Frederik Peter Aalund ,FALSE,NO
30 Under 30 - Europe - Science & Healthcare,Christian Bertelsen,28,Denmark,Cofounder, Angiolutions,"SBT Instruments has developed a real-time bacterial detection device that is relatively cheap, accessible, market-ready and can be used in water, food and environmental testing. They've raised more than ?1 million.",,,FALSE,
30 Under 30 - Europe - Science & Healthcare,Gustav Skands,28,Denmark,Cofounder, Angiolutions,"SBT Instruments has developed a real-time bacterial detection device that is relatively cheap, accessible, market-ready and can be used in water, food and environmental testing. They've raised more than ?1 million.",,,FALSE,
30 Under 30 - Europe - Science & Healthcare,Arnau Verdaguer,28,Denmark,Lecturer, De Montfort University,Agricultural greenhouses and hospitals could purify and reuse their wastewater on-site with eco-friendly tech Verdaguer developed as a PhD student and is commercializing with HPNow. The company has raised ?5 million.,https://www.linkedin.com/in/arnauverdaguer/,Ann Lawlor - Senior Lecturer - De Montfort University ,FALSE,YES
30 Under 30 - Europe - Finance,Christian Arnstedt,29,Denmark,Cofounders, Blazar Capital,Copenhagen-based Blazar Capital is a company builder focused on vertical e-commerce companies in the Fast Moving Consumer Goods (FMCG) sector. Arnstedt and Fedoryaev founded the company in 2017 after working together at McKinsey &amp; Company and plan to launch 20 companies by 2020.,https://www.linkedin.com/in/christian-arnstedt-96769537,Christian Arnstedt ,TRUE,NO
30 Under 30 - Europe - Finance,Denis Fedoryaev,29,Denmark,Cofounders, Blazar Capital,Copenhagen-based Blazar Capital is a company builder focused on vertical e-commerce companies in the Fast Moving Consumer Goods (FMCG) sector. Arnstedt and Fedoryaev founded the company in 2017 after working together at McKinsey &amp; Company and plan to launch 20 companies by 2020.,,,FALSE,
30 Under 30 - Europe - Finance,Morten Bruun,26,Denmark,Cofounder, Penstable,"Morten and his cofounders at Penstable aim to create the first sustainable pension fund built on a digital platform, while also empowering its users to make the most out of their savings. The company scored a number of awards including Best FinTech Startup at VentureCup 2017, Denmark's largest startup competition.",https://www.linkedin.com/in/mortenbruun/,Morten Bruun ,TRUE,NO
30 Under 30 - Europe - Industry,Christoffer Nyvold,23,Denmark,Cofounders, Soundboks,"Nyvold, Thomsen, and Wieth are the cofounders of Soundboks, which manufactures what they refer to as a ""party-resistant"" speaker. It's a large, portable Bluetooth speaker that can be used to provide big sound at parties and other outdoor events. They built their first speakers in their parents' basement, but just a few years later, the company is selling thousands of speakers worldwide with the United States and Germany as its main markets. The company's cofounders are among the youngest Europeans to have made it through the Y Combinator startup accelerator.",https://www.linkedin.com/in/christoffer-nyvold,Christoffer Nyvold ,TRUE,NO
30 Under 30 - Europe - Industry,Jesper Theil Thomsen,22,Denmark,Cofounders, Soundboks,"Nyvold, Thomsen, and Wieth are the cofounders of Soundboks, which manufactures what they refer to as a ""party-resistant"" speaker. It's a large, portable Bluetooth speaker that can be used to provide big sound at parties and other outdoor events. They built their first speakers in their parents' basement, but just a few years later, the company is selling thousands of speakers worldwide with the United States and Germany as its main markets. The company's cofounders are among the youngest Europeans to have made it through the Y Combinator startup accelerator.",,,FALSE,
30 Under 30 - Europe - Big Money,Markus Villig,24,Estonia,Founder, Taxify,"Not many people want to take on Uber, but Markus Villig launched his own competitor, Taxify, when he was only 19-years-old. While his initial vision was to focus on taxis in Tallinn, Estonia, the founder and CEO has grown Taxify rapidly in the last four years. The service now has over five million customers and over 100,000 drivers. Taxify also expanded to more than 20 countries around the globe from South Africa to Australia. Even China's Didi Chuxing made a strategic investment in the ride-hailing app, which has raised over 50M euros.",https://www.linkedin.com/in/markusvillig,Markus Villig ,TRUE,NO
30 Under 30 - Europe - Industry,Eva Aasmäe,26,Estonia,Head of Product Development, Nordic Automation Systems,"Aasmäe has been the lead development engineer for the successful products created at Nordic Automation Systems. The company is focused on industrial automation and providing precise data to reduce tedious repetitive manual tasks. The company's products include sensor technologies, data analysis, and monitoring solutions. Prior to coming to NAS, she worked at robotics company ABB on mechanatronics projects.",https://ee.linkedin.com/in/eva-aasm%C3%A4e-86a949a0,Eva Aasmäe ,TRUE,NO
30 Under 30 - Europe - Law & Policy,Hanna Sarkkinen,29,Finland,Member of Parliament," Eduskunta,  the Parliament of Finland","Sarkkinen is a member of Finland's Parliament, working for economic equality and global sustainability as the chairperson of the Woman Parliamentarians network, the vice-chair of the Development Policy committee, and as a member of the economic committee and the executive committee of European Parliamentary Forum on Population and Development.",NO PROFILE,7 Maija profiles at Parliament-of-finland ,FALSE,YES
30 Under 30 - Europe - Retail & Ecommerce,Joonas Ahola,26,Finland,Cofounder, MeetingPackage.com,"MeetingPackage.com is a global marketplace and booking engine for meeting rooms and event venues. The platform has an inventory of more than 250,000 meeting rooms with venue partners in 120 countries. MeetingPackage.com has raised $3.2 million since its founding in 2014.",https://us.linkedin.com/in/joonasahola,Joonas Ahola ,TRUE,NO
30 Under 30 - Europe - Retail & Ecommerce,Iiro Kormi,29,Finland,Cofounder, Zadaa,"Zadaa is a fashion marketplace that helps users buy and sell clothing that fits by connecting users with similar sizes and styles. Founded in 2015 by Kormi and four partners, Zadaa has raised ?1.2 million to date and has 150,000 customers that hail from seven countries across Europe.",https://www.linkedin.com/in/iirokormi,Iiro Kormi ,TRUE,NO
30 Under 30 - Europe - Big Money,Pekka Laurila,29,Finland,Cofounders, ICEYE,"Literally an eye in the sky, ICEYE has developed a constellation of radar micro-satellites that provides near-real-time imagery from space. The startup's proprietary tech allows it to capture images even without sunlight, giving it access to images anywhere on Earth and at any time. The company's first microsatellite was launched into space to start operations in January 2018.",https://www.linkedin.com/in/pekka-laurila-bb2a922a,Pekka Laurila ,TRUE,NO
30 Under 30 - Europe - Big Money,Rafal Modrzewski,28,Finland,Cofounders, ICEYE,"Literally an eye in the sky, ICEYE has developed a constellation of radar micro-satellites that provides near-real-time imagery from space. The startup's proprietary tech allows it to capture images even without sunlight, giving it access to images anywhere on Earth and at any time. The company's first microsatellite was launched into space to start operations in January 2018.",,,FALSE,
30 Under 30 - Europe - Industry,Caritta Seppa,29,Finland,Cofounders, Tespack,"Seppä and Aguilera are the cofounders at Tespack, a company specialized in mobile energy with customers and partners ranging from Vodafone to TomTom. The company's products include backpacks with solar panels that can charge your devices while you're out walking around, solar smart helmets, and more. The company's raised over $2.6 million in venture funding to date.",,,FALSE,
30 Under 30 - Europe - Media & Marketing,Tuomo Riekki,29,Finland,Cofounder, Smartly.io,"Riekki is cofounder and CTO at Smartly.io, a four-year-old marketing company that automates Facebook and Instagram advertising at scale by predicting clients and targeting based on consumer behavior. The company also creates a streamlined workflow for its clients. Having managed over $1 billion in ad spend, Smartly serves over 500 customers, including eBay, SkyScanner, BARK and TechStyle.",https://www.linkedin.com/in/triekki,Tuomo Riekki ,TRUE,NO
30 Under 30 - Europe - Finance,Zahreddine Touag,25,France,Cofounders, AFGC,"Meraud, Sabba and Touag started AFGC, Association Française pour la Gestion des Cybermonnaies (French Association for the Management of Crypto Currencies), to promote the new asset class. Working with regulatory offices across Europe, the non-profit tries to gather major institutions around the topic and will publish a whitepaper on institutional investment in cryptocurrencies.The group also plans to set up a regulated cryptocurrency fund.",,,FALSE,
30 Under 30 - Europe - Art & Culture,Hugo Marchand,24,France,Owner, Perilla dining ltd,"Born in Nantes, in the west of France, Hugo Marchand left home at age 14 to train at the Paris Opera Ballet school, and was admitted to the company after graduating at age 17. In March of 2017, he was promoted to the top-ranked position of ""etoile"" - a rare honor for someone just 23 years of age. A few months later, Marchand won the international Benois de la Danse competition in Moscow. He currently performs leading roles in such works as La Bayadere, La Sylphide, Swan Lake, and assorted contemporary works for the Paris Opera Ballet and at international for galas and performances.",NO PROFILE,Top 25 R. ? profiles in Canada ,FALSE,YES
30 Under 30 - Europe - Art & Culture,Alexandra Sophie,25,France,Junior designer, Lizzy Stuyfzand,"A long illness prompted French artist and photographer Alexandra Sophie to leave school as a teenager. From her home in Belfort, in the French countryside she taught herself photography randomly through disposable cameras. Now living in Paris, she works internationally and her pieces are used in magazines and on the covers of such as Vogue and Elle internationally. In 2013, she won the international ""F- Award"" as emerging photographer of the year, and was a finalist of the international fashion photography contest ""Vogue x Bottega Veneta.""",NO PROFILE,Sophie Hayman ,FALSE,YES
30 Under 30 - Europe - Art & Culture,Camille Thomas,29,France,Founder, Shrimps,"Camille Thomas studied music in Paris with Marcel Bardon and Philippe Muller before attending the Hochschule fur Musik Hanns Eisler in Berlin. The Franco-Belgian cellist has won numerous international competitions, including the Yamaha Music Foundation of Europe Strings Competition, the Edmont Bart Competition and the Leopold Bellan Competition. She was nominated Newcomer of the Year by ""Les Victoires de la Musique,"" the French Grammys, and was named ""New Talent of the Year"" at the European Broadcasting Union Competition. She recently signed a contract with Deutsche Grammophon International with whom she will be releasing an album for the current season, playing with the Orchestre de Lille conducted by Alexandre Bloch.  In April, she will perform a cello concerto composed especially for her by Fazil Say, at the Theatre des Champs Elysees with the Orchestre de Chambre de Paris conducted by Douglas Boyd.",https://www.linkedin.com/in/camilleathomas,Camille A. Thomas ,FALSE,NO
30 Under 30 - Europe - Entertainment,Hugo Marchand,24,France,Dancer, Paris Opera Ballet,"Born in Nantes, in the west of France, Hugo Marchand left home at age 14 to train at the Paris Opera Ballet school, and was admitted to the company after graduating at age 17. In March of 2017, he was promoted to the top-ranked position of ""etoile"" - a rare honor for someone just 23 years of age. A few months later, Marchand won the international Benois de la Danse competition in Moscow. He currently performs leading roles in such works as La Bayadere, La Sylphide, Swan Lake, and assorted contemporary works for the Paris Opera Ballet and at international for galas and performances.",NO PROFILE,Hugo Marchand - Opéra national de Paris,FALSE,YES
30 Under 30 - Europe - Entertainment,Camille Thomas,29,France,Musician, Camille Thomas,"Camille Thomas studied music in Paris with Marcel Bardon and Philippe Muller before attending the Hochschule fur Musik Hanns Eisler in Berlin. The Franco-Belgian cellist has won numerous international competitions, including the Yamaha Music Foundation of Europe Strings Competition, the Edmont Bart Competition and the Leopold Bellan Competition. She was nominated Newcomer of the Year by ""Les Victoires de la Musique,"" the French Grammys, and was named ""New Talent of the Year"" at the European Broadcasting Union Competition. She recently signed a contract with Deutsche Grammophon International with whom she will be releasing an album for the current season, playing with the Orchestre de Lille conducted by Alexandre Bloch.  In April, she will perform a cello concerto composed especially for her by Fazil Say, at the Theatre des Champs Elysees with the Orchestre de Chambre de Paris conducted by Douglas Boyd.",https://www.linkedin.com/in/camille-thomas,Camille Thomas ,TRUE,NO
30 Under 30 - Europe - Law & Policy,Hervé Berville,27,France,Member of Parliament, National Assembly (France),"A Rwandan genocide survivor, Berville was adopted into a French family. He now serves as a member of the French National Assembly and a spokesperson for the parliamentary group ""La République en Marche.""",https://www.linkedin.com/in/herveberville/,"France convenes youngest, most diverse Parliament in its ...",FALSE,YES
30 Under 30 - Europe - Law & Policy,Nicolas Bustamante,23,France,Cofounder, Doctrine,"Bustamante is the founder and CEO of Doctrine, a data analytics solution that uses the latest technologies in machine learning to analyze French and European legal doctrine, court decisions and laws in order to provide deep insights to legal professionals.",https://www.linkedin.com/in/bustamantenicolas,Nicolas Bustamante ,TRUE,NO
30 Under 30 - Europe - Retail & Ecommerce,Julia Bijaoui,29,France,Cofounder, Frichti,"Founded in 2015 by Bijaoi and her 31-year-old husband, Frichti wants to be ""your second kitchen."" The Paris-based startup handles everything from cooking to orders to deliveries, which are made in as fast as 30 minutes. Frichti has raised ?43 million to date, closing a ?28.4 million Series B round last spring.",https://www.linkedin.com/in/juliabijaoui,Julia Bijaoui ,TRUE,NO
